date,name,count,group.max,group.ge10,group.ge12,group.ge15,group.ge20,group.top,row.max,row.ge10,row.ge12,row.ge15,row.ge20,row.top,col6.max,col6.ge30,col6.ge50,col6.top,col3.max,col3.ge30,col3.ge50,col3.ge80,col3.top,number.max,number.ge200,number.ge300,number.top
2021-06-17,20210617-2033,209,11,2,0,0,0,一组 11 #2-13,11,2,0,0,0,2行 11 #158-169,33,2,0,1-6 33 #39-72,54,18,1,0,1-3 54 #32-86,142,0,0,23 142 未结束 #67-209
2021-06-18,20210618-1633,253,12,7,3,0,0,三组 12 #12-24,14,4,2,0,0,1行 14 #119-133,48,2,0,25-30 48 #118-166,87,15,3,1,25-27 87 #79-166,197,0,0,4 197 #0-197
2021-06-18,20210618-1917,201,12,2,2,0,0,一组 12 #90-102,28,5,2,2,1,2行 28 #16-44,35,2,0,16-21 35 #99-134,57,14,2,0,16-18 57 #89-146,173,0,0,30 173 未结束 #28-201
2021-06-18,20210619-0052,259,14,4,2,0,0,二组 14 #241-255,15,4,1,1,0,3行 15 #139-154,35,2,0,22-27 35 #136-171,66,18,4,0,7-9 66 #170-236,153,0,0,5 153 #92-245
2021-06-19,20210619-1232,250,15,5,2,1,0,三组 15 未结束 #235-250,12,3,2,0,0,1行 12 #234-246,32,1,0,25-30 32 #28-60,47,16,0,0,31-33 47 #51-98,152,0,0,20 152 #74-226
2021-06-19,20210619-1545,225,13,5,1,0,0,一组 13 #119-132,19,1,1,1,0,1行 19 #7-26,37,3,0,22-27 37 #131-168,65,17,3,0,22-24 65 #103-168,176,0,0,1 176 未结束 #49-225
2021-06-19,20210620-0003,287,14,3,3,0,0,一组 14 #63-77,13,6,3,0,0,2行 13 #134-147,52,3,1,13-18 52 #136-188,70,23,5,0,13-15 70 #133-203,219,1,0,11 219 #20-239
2021-06-20,20210620-1850,112,14,6,3,0,0,一组 14 #91-105,9,0,0,0,0,3行 9 #25-34,37,1,0,31-36 37 #45-82,61,8,2,0,31-33 61 #21-82,112,0,0,2 112 未结束 #0-112
2021-06-20,20210620-2016,353,16,6,5,1,0,三组 16 #262-278,16,9,4,1,0,1行 16 #93-109,40,7,0,25-30 40 #29-69,69,28,4,0,7-9 69 #48-117,239,3,0,15 239 #85-324
2021-06-20,20210620-2329,288,16,4,2,2,0,二组 16 #171-187,14,4,3,0,0,2行 14 #158-172,33,1,0,22-27 33 #159-192,70,23,4,0,25-27 70 #144-214,181,0,0,24 181 #11-192
2021-06-21,20210621-1606,298,17,6,2,1,0,二组 17 #51-68,14,6,2,0,0,2行 14 #113-127,31,1,0,13-18 31 #130-161,58,22,2,0,22-24 58 #82-140,151,0,0,26 151 #28-179
2023-06-05,20230605-2221,234,17,6,3,1,0,一组 17 #139-156,16,3,1,1,0,1行 16 #196-212,39,4,0,28-33 39 #144-183,69,24,1,0,13-15 69 #42-111,154,0,0,3 154 #79-233
2023-06-06,20230606-2153,255,10,1,0,0,0,一组 10 #16-26,22,4,2,2,1,1行 22 #96-118,28,0,0,10-15 28 #221-249,64,13,2,0,13-15 64 #185-249,157,0,0,30 157 #57-214
2023-06-06,20230606-2307,204,13,7,3,0,0,二组 13 #0-13,11,3,0,0,0,2行 11 #103-114,37,1,0,10-15 37 #49-86,49,15,0,0,1-3 49 #0-49,204,1,0,20 204 未结束 #0-204
2023-06-07,20230607-2252,472,16,12,5,2,0,三组 16 #53-69,13,9,3,0,0,3行 13 #192-205,39,3,0,25-30 39 #390-429,108,38,3,1,13-15 108 #154-262,246,1,0,28 246 未结束 #226-472
2023-06-08,20230608-1548,326,15,8,3,1,0,二组 15 #64-79,15,8,4,1,0,3行 15 #249-264,36,2,0,25-30 36 #9-45,48,28,0,0,7-9 48 #229-277,187,0,0,14 187 #11-198
2023-10-23,20231023-下午-巴黎人,227,16,5,5,2,0,一组 16 #48-64,15,5,1,1,0,1行 15 #1-16,31,2,0,1-6 31 #92-123,51,14,1,0,16-18 51 #9-60,227,2,0,3 227 未结束 #0-227
2023-10-24,20231023-晚上-喜来登,81,12,2,1,0,0,一组 12 #6-18,9,0,0,0,0,2行 9 #10-19,35,1,0,31-36 35 #12-47,49,5,0,0,31-33 49 #12-61,81,0,0,17 81 未结束 #0-81
2023-10-24,20231024-下午-喜来登,82,11,2,0,0,0,三组 11 #22-33,9,0,0,0,0,2行 9 #0-9,31,1,0,25-30 31 #22-53,53,3,1,0,28-30 53 #0-53,82,0,0,11 82 未结束 #0-82
2023-10-24,20231024-晚上-巴黎人,255,12,2,1,0,0,三组 12 #105-117,23,3,2,2,2,1行 23 #143-166,28,0,0,25-30 28 #105-133,63,17,2,0,34-36 63 #188-251,255,1,0,29 255 未结束 #0-255
2023-10-24,20231025-凌晨-伦敦人,244,11,4,0,0,0,二组 11 #31-42,18,5,3,1,0,2行 18 #107-125,32,1,0,28-33 32 #129-161,82,13,4,1,31-33 82 未结束 #162-244,193,0,0,28 193 #0-193
2023-10-25,20231025-下午-巴黎人,184,15,2,1,1,0,一组 15 #52-67,14,3,2,0,0,1行 14 #15-29,28,0,0,13-18 28 #85-113,76,15,1,0,10-12 76 #89-165,184,0,0,12 184 未结束 #0-184
2023-10-30,20231025-晚上-伦敦人,242,11,2,0,0,0,三组 11 #111-122,18,4,1,1,0,1行 18 #91-109,37,4,0,7-12 37 #34-71,72,17,4,0,7-9 72 #27-99,147,0,0,27 147 #60-207
2024-03-18,wzs-2024-03-18-001,211,12,3,2,0,0,三组 12 #6-18,10,2,0,0,0,2行 10 #93-103,29,0,0,1-6 29 #9-38,62,13,1,0,31-33 62 #61-123,130,0,0,3 130 未结束 #81-211
2025-01-13,wzs-2025-01-13-301,290,23,7,4,2,1,二组 23 #114-137,16,6,1,1,0,1行 16 #120-136,38,4,0,16-21 38 #67-105,93,20,9,2,10-12 93 #21-114,248,2,0,17 248 未结束 #42-290
2025-01-13,wzs-2025-01-13-302,241,12,6,3,0,0,二组 12 #163-175,12,8,1,0,0,2行 12 #40-52,33,2,0,28-33 33 #192-225,75,16,4,0,34-36 75 #136-211,188,0,0,35 188 未结束 #53-241
2025-11-03,20251102-下午-伦敦人,216,14,5,2,0,0,一组 14 #128-142,15,4,2,2,0,2行 15 #9-24,52,4,1,1-6 52 #95-147,68,20,4,0,4-6 68 #22-90,206,1,0,35 206 #0-206
2025-11-03,20251103-下午-喜来登,226,18,4,2,2,0,三组 18 #25-43,14,6,2,0,0,1行 14 #166-180,42,4,0,31-36 42 #88-130,64,20,5,0,34-36 64 #66-130,226,1,0,36 226 未结束 #0-226
2025-11-06,20251106-下午-喜来登,198,15,3,2,1,0,一组 15 #83-98,13,4,2,0,0,3行 13 #9-22,32,1,0,10-15 32 未结束 #166-198,88,14,4,1,10-12 88 #74-162,146,0,0,11 146 #16-162
2025-12-01,wzs-2025-12-01-501,199,17,3,2,1,0,一组 17 #14-31,16,6,3,1,0,2行 16 #24-40,39,4,0,19-24 39 #87-126,78,16,3,0,22-24 78 #66-144,144,0,0,23 144 #0-144
2025-12-01,wzs-2025-12-01-502,200,17,5,1,1,0,二组 17 #25-42,12,4,1,0,0,1行 12 #132-144,30,2,0,22-27 30 #54-84,65,13,3,0,13-15 65 #18-83,159,0,0,12 159 未结束 #41-200
2025-12-01,wzs-2025-12-01-503,202,16,2,1,1,0,三组 16 #11-27,14,4,2,0,0,3行 14 #108-122,27,0,0,13-18 27 #22-49,85,16,2,1,25-27 85 #113-198,198,0,0,25 198 #0-198
2025-12-01,wzs-2025-12-01-504,198,16,5,1,1,0,一组 16 #87-103,16,2,2,1,0,1行 16 #167-183,51,5,1,28-33 51 #14-65,58,17,4,0,28-30 58 #7-65,198,0,0,30 198 未结束 #0-198
2025-12-01,wzs-2025-12-01-505,219,12,7,3,0,0,二组 12 #46-58,11,2,0,0,0,3行 11 #11-22,33,1,0,16-21 33 #114-147,72,16,3,0,4-6 72 #125-197,139,0,0,32 139 #64-203
2025-12-01,20251201-晚上-巴黎人,281,13,8,3,0,0,二组 13 #62-75,13,4,1,0,0,1行 13 #3-16,52,3,1,10-15 52 #8-60,60,21,3,0,10-12 60 #0-60,215,1,0,3 215 #32-247
2025-12-02,20251202-晚上-喜来登,298,19,8,2,1,0,一组 19 #103-122,13,2,1,0,0,3行 13 #185-198,35,2,0,10-15 35 #46-81,74,23,3,0,25-27 74 #53-127,161,0,0,19 161 未结束 #137-298
2025-12-03,20251203-晚上-喜来登,225,17,6,1,1,0,二组 17 #158-175,12,4,1,0,0,1行 12 #56-68,30,2,0,4-9 30 #12-42,65,13,3,0,13-15 65 #117-182,159,0,0,12 159 #0-159
