date,name,count,group.max,group.ge10,group.ge12,group.ge15,group.ge20,group.top,row.max,row.ge10,row.ge12,row.ge15,row.ge20,row.top,col6.max,col6.ge30,col6.ge50,col6.top,col3.max,col3.ge30,col3.ge50,col3.ge80,col3.top,number.max,number.ge200,number.ge300,number.top
2026-06-01,20260601-1630-澳门永利,308,14,6,2,0,0,一组 14 #206-220,14,6,3,0,0,3行 14 #66-80,43,1,0,31-36 43 #105-148,61,20,5,0,25-27 61 #209-270,167,0,0,31 167 #82-249
2026-06-01,20260602-0018-澳门永利,367,17,5,4,2,0,一组 17 #68-85,10,6,0,0,0,2行 10 #106-116,41,4,0,22-27 41 #272-313,76,24,6,0,22-24 76 #166-242,209,1,0,24 209 #33-242
2026-06-02,20260603-0030-澳门永利,809,13,13,3,0,0,一组 13 #317-330,17,11,7,4,0,2行 17 #28-45,44,7,0,4-9 44 #656-700,121,54,14,2,34-36 121 #14-135,263,3,0,12 263 #331-594
2026-06-02,20260603-0230-澳门永利,277,13,4,3,0,0,三组 13 #89-102,21,4,3,3,1,2行 21 #242-263,32,2,0,16-21 32 #180-212,56,26,2,0,25-27 56 #0-56,196,0,0,34 196 未结束 #81-277
2026-06-03,20260603-2101-澳门永利,599,16,9,5,1,0,三组 16 #512-528,14,8,4,0,0,1行 14 #520-534,44,5,0,28-33 44 #534-578,82,39,10,1,10-12 82 #335-417,316,2,1,9 316 #218-534
2026-06-04,20260604-1630-澳门永利,518,16,5,4,1,0,二组 16 #255-271,17,9,2,2,0,2行 17 #458-475,54,5,1,13-18 54 #362-416,77,36,10,0,16-18 77 #206-283,291,2,0,19 291 #183-474
2026-06-04,20260604-2223-澳门永利,253,16,4,2,1,0,一组 16 #211-227,18,4,1,1,0,3行 18 #34-52,34,1,0,22-27 34 #78-112,57,22,1,0,16-18 57 #45-102,156,0,0,35 156 未结束 #97-253
2026-06-04,20260605-0230-澳门永利,311,14,8,4,0,0,一组 14 #55-69,16,5,2,1,0,2行 16 #61-77,34,1,0,13-18 34 #0-34,68,21,5,0,16-18 68 #47-115,217,1,0,17 217 #47-264
2026-06-05,20260606-0131-澳门永利,756,16,14,6,2,0,一组 16 #421-437,15,15,8,2,0,2行 15 #475-490,39,14,0,22-27 39 #488-527,85,63,11,1,13-15 85 #663-748,207,1,0,27 207 #349-556
2026-06-06,20260607-0217-澳门永利,761,25,17,9,5,3,三组 25 #627-652,16,17,7,2,0,2行 16 #73-89,42,7,0,28-33 42 #102-144,76,53,8,0,7-9 76 #62-138,241,3,0,2 241 #220-461
2026-06-28,20260628-2357-澳门永利,589,23,8,2,1,1,三组 23 #458-481,15,13,6,1,0,2行 15 #363-378,35,4,0,22-27 35 #111-146,54,40,4,0,16-18 54 #15-69,244,2,0,17 244 未结束 #345-589
2026-06-29,20260630-0130-澳门永利,666,16,15,7,1,0,三组 16 #362-378,21,14,5,3,1,1行 21 #470-491,45,8,0,1-6 45 #75-120,113,43,12,2,13-15 113 #148-261,213,2,0,14 213 #77-290
2026-06-30,20260630-2247-澳门永利,813,23,13,6,4,2,三组 23 #48-71,18,16,8,3,0,3行 18 #724-742,37,3,0,16-21 37 #194-231,72,65,11,0,28-30 72 #400-472,212,2,0,6 212 #148-360
2026-07-01,20260701-1148-澳门永利,333,18,4,3,1,0,二组 18 #7-25,15,8,3,1,0,2行 15 #116-131,45,3,0,19-24 45 #122-167,89,24,6,1,7-9 89 #16-105,221,1,0,3 221 #86-307
2026-07-01,20260701-1320-澳门永利,241,12,3,1,0,0,二组 12 #86-98,18,3,2,2,0,2行 18 #81-99,27,0,0,16-21 27 #82-109,85,13,4,1,7-9 85 #137-222,222,1,0,8 222 #0-222
2026-07-02,20260702-1550-澳门永利,352,16,5,1,1,0,三组 16 #20-36,16,5,2,1,0,3行 16 #111-127,32,2,0,31-36 32 #128-160,82,27,4,1,16-18 82 #39-121,318,3,1,35 318 #0-318
2026-07-02,20260703-0038-澳门永利,378,16,8,4,1,0,二组 16 #86-102,16,5,3,2,0,3行 16 #124-140,39,4,0,13-18 39 #86-125,71,24,6,0,31-33 71 #169-240,246,1,0,22 246 #0-246
2026-07-03,20260703-1059-澳门永利,287,19,4,2,1,0,三组 19 #61-80,14,3,3,0,0,3行 14 #270-284,32,4,0,22-27 32 #174-206,62,19,4,0,25-27 62 #97-159,163,0,0,36 163 #28-191
2026-07-03,20260703-1310-澳门永利,221,13,5,2,0,0,一组 13 #92-105,18,6,5,2,0,3行 18 #132-150,29,0,0,22-27 29 #25-54,66,10,3,0,10-12 66 #57-123,158,0,0,13 158 未结束 #63-221
2026-07-03,20260703-1651-澳门永利,359,17,7,3,1,0,二组 17 #187-204,13,3,2,0,0,3行 13 #195-208,33,3,0,10-15 33 #0-33,59,30,5,0,7-9 59 #191-250,167,0,0,3 167 #22-189
